Source,Source Type,First-Cycle Code,Category,Cluster
Zou et al. (2025),Peer-reviewed article,SMART CONTRACT AUDIT GOVERNANCE,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Zou et al. (2025),Peer-reviewed article,PERMISSIONED DLT FOR INSTITUTIONS,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Zou et al. (2025),Peer-reviewed article,AUTOMATED MARKET MAKING,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Zou et al. (2025),Peer-reviewed article,ON-CHAIN COLLATERAL MANAGEMENT,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Shukla et al. (2024),Peer-reviewed article,AI-BLOCKCHAIN CONVERGENCE,AI & Technology Convergence,CLUSTER A Technology Enablers
Shukla et al. (2024),Peer-reviewed article,AI-POWERED SMART CONTRACT AUDITING,AI & Technology Convergence,CLUSTER A Technology Enablers
Shukla et al. (2024),Peer-reviewed article,NLP FOR TOKENISATION DOCUMENTATION,AI & Technology Convergence,CLUSTER A Technology Enablers
Shukla et al. (2024),Peer-reviewed article,ML FOR ON-CHAIN SURVEILLANCE,AI & Technology Convergence,CLUSTER A Technology Enablers
Shukla et al. (2024),Peer-reviewed article,AI AS BLOCKCHAIN ADOPTION ACCELERANT,AI & Technology Convergence,CLUSTER A Technology Enablers
BIS (2022) — Monetary Systems,Institutional report,CBDC AS MONETARY INFRASTRUCTURE,Central Bank & Monetary Infrastructure,CLUSTER B Regulatory & Governance Forces
BIS (2022) — Monetary Systems,Institutional report,UNIFIED LEDGER CONCEPT,Central Bank & Monetary Infrastructure,CLUSTER B Regulatory & Governance Forces
BIS (2022) — Monetary Systems,Institutional report,PROGRAMMABLE MONEY,Central Bank & Monetary Infrastructure,CLUSTER B Regulatory & Governance Forces
BIS (2022) — Monetary Systems,Institutional report,TOKENISATION OF CENTRAL BANK MONEY,Central Bank & Monetary Infrastructure,CLUSTER B Regulatory & Governance Forces
BIS (2022) — Monetary Systems,Institutional report,CRYPTO STRUCTURAL LIMITATIONS,Central Bank & Monetary Infrastructure,CLUSTER B Regulatory & Governance Forces
BIS (2022) — Monetary Systems,Institutional report,INTEROPERABILITY OF DIGITAL MONETARY SYSTEMS,Central Bank & Monetary Infrastructure,CLUSTER B Regulatory & Governance Forces
Auer et al. (2020),Institutional working paper,CBDC DEVELOPMENT DRIVERS,Central Bank & Monetary Infrastructure,CLUSTER B Regulatory & Governance Forces
Auer et al. (2020),Institutional working paper,CENTRAL BANK DLT EXPLORATION,Central Bank & Monetary Infrastructure,CLUSTER B Regulatory & Governance Forces
Auer et al. (2020),Institutional working paper,RETAIL vs WHOLESALE CBDC DESIGN,Central Bank & Monetary Infrastructure,CLUSTER B Regulatory & Governance Forces
Auer et al. (2020),Institutional working paper,INSTITUTIONAL ADOPTION OF DIGITAL CURRENCY,Central Bank & Monetary Infrastructure,CLUSTER B Regulatory & Governance Forces
Divissenko (2023),Peer-reviewed article,MICA REGULATORY FRAMEWORK,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Divissenko (2023),Peer-reviewed article,CRYPTO-ASSET SERVICE PROVIDER LICENSING,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Divissenko (2023),Peer-reviewed article,EU DIGITAL FINANCE STRATEGY,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Divissenko (2023),Peer-reviewed article,TECHNOLOGY-NEUTRAL REGULATION,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Divissenko (2023),Peer-reviewed article,REGULATORY PERIMETER FOR CRYPTO-ASSETS,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Divissenko (2023),Peer-reviewed article,FUTURE-PROOFING FINANCIAL REGULATION,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
European Commission (2020),Policy document,EU DIGITAL FINANCE STRATEGY,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
European Commission (2020),Policy document,REGULATORY FRAMEWORK FOR DIGITAL ASSETS,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
European Commission (2020),Policy document,INNOVATION-ENABLING REGULATION,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Wronka (2024),Peer-reviewed article,REGULATORY DIVERGENCE UK vs GERMANY,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Wronka (2024),Peer-reviewed article,COMPETITIVE CONSEQUENCES OF REGULATORY DESIGN,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Wronka (2024),Peer-reviewed article,CRYPTO-ASSET LICENSING FRAMEWORKS,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Wronka (2024),Peer-reviewed article,MARKET STRUCTURE EFFECTS OF REGULATION,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Wronka (2024),Peer-reviewed article,CROSS-BORDER REGULATORY FRAGMENTATION,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
AFME (2025),Industry report,DLT FIXED INCOME ISSUANCE GROWTH,Market Investment & Adoption Evidence,CLUSTER C Market & Adoption Dynamics
AFME (2025),Industry report,TOKENISED ASSETS MARKET SCALING,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
AFME (2025),Industry report,DLT REPO TRANSACTION VOLUME,Market Investment & Adoption Evidence,CLUSTER C Market & Adoption Dynamics
AFME (2025),Industry report,STABLECOIN MARKET CAPITALISATION GROWTH,Market Investment & Adoption Evidence,CLUSTER C Market & Adoption Dynamics
AFME (2025),Industry report,WHOLESALE DLT MARKET INSTITUTIONALISATION,Market Investment & Adoption Evidence,CLUSTER C Market & Adoption Dynamics
AFME (2025),Industry report,ASIAN CAPITAL MARKET DLT LEADERSHIP,Market Investment & Adoption Evidence,CLUSTER C Market & Adoption Dynamics
Galaxy Research (2025),Industry report,CRYPTO-SECTOR VC FUNDING RECOVERY,Market Investment & Adoption Evidence,CLUSTER C Market & Adoption Dynamics
Galaxy Research (2025),Industry report,INSTITUTIONAL INVESTMENT IN BLOCKCHAIN,Market Investment & Adoption Evidence,CLUSTER C Market & Adoption Dynamics
Galaxy Research (2025),Industry report,VENTURE CAPITAL CONCENTRATION IN DLT,Market Investment & Adoption Evidence,CLUSTER C Market & Adoption Dynamics
ESMA (2026),Regulatory data source,CASP LICENSING UNDER MICA,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
ESMA (2026),Regulatory data source,REGULATORY IMPLEMENTATION PACE,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
ESMA (2026),Regulatory data source,EU CRYPTO-ASSET MARKET FORMALISATION,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Shi & Herniman (2023),Peer-reviewed article,HYPE CYCLE EXPECTATION DYNAMICS,Other,Methodology
Shi & Herniman (2023),Peer-reviewed article,INNOVATION DIFFUSION MODELLING,Other,Methodology
Shi & Herniman (2023),Peer-reviewed article,TROUGH OF DISILLUSIONMENT MECHANISM,Other,Methodology
Shi & Herniman (2023),Peer-reviewed article,SLOPE OF ENLIGHTENMENT CONDITIONS,Other,Methodology
Shi & Herniman (2023),Peer-reviewed article,GOVERNANCE COMPLEXITY AS TROUGH EXTENDER,Other,Methodology
Shi & Herniman (2023),Peer-reviewed article,INSTITUTIONAL CO-EVOLUTION IN ADOPTION,Other,Methodology
Nakamoto (2008),Technical paper,PEER-TO-PEER TRANSACTION ARCHITECTURE,Other,Methodology
Nakamoto (2008),Technical paper,BLOCKCHAIN FOUNDATIONAL DESIGN,Other,Methodology
Nakamoto (2008),Technical paper,TRUSTLESS SETTLEMENT CONCEPT,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Pólvora et al. (2020),Methodological chapter,FUTURE-ORIENTED TECHNOLOGY ASSESSMENT,Other,Methodology
Pólvora et al. (2020),Methodological chapter,TREND CLUSTERING METHODOLOGY,Other,Methodology
Pólvora et al. (2020),Methodological chapter,FORESIGHT AS ANALYTICAL FRAMEWORK,Other,Methodology
Pólvora et al. (2020),Methodological chapter,DIRECTIONAL TREND ANALYSIS,Other,Methodology
Schoemaker (1995),Peer-reviewed article,SCENARIO PLANNING METHODOLOGY,Other,Methodology
Schoemaker (1995),Peer-reviewed article,CRITICAL UNCERTAINTY IDENTIFICATION,Other,Methodology
Schoemaker (1995),Peer-reviewed article,2x2 SCENARIO MATRIX CONSTRUCTION,Other,Methodology
Schoemaker (1995),Peer-reviewed article,STRATEGIC FORESIGHT TOOL,Other,Methodology
